date,4. close,4. close,4. close
1999-11-01,92.37,77.62,
1999-11-02,92.56,80.25,
1999-11-03,92.0,81.5,
1999-11-04,91.75,83.62,
1999-11-05,91.56,88.31,
1999-11-08,89.94,96.37,
1999-11-09,88.87,89.62,
1999-11-10,87.12,91.44,
1999-11-11,89.62,92.25,
1999-11-12,89.19,90.62,
1999-11-15,87.0,89.44,
1999-11-16,87.31,91.19,
1999-11-17,85.0,90.25,
1999-11-18,84.94,89.62,
1999-11-19,86.0,92.44,
1999-11-22,89.81,90.62,
1999-11-23,89.62,92.81,
1999-11-24,91.69,94.69,
1999-11-26,91.12,95.06,
1999-11-29,90.19,94.56,
1999-11-30,91.05,97.87,
1999-12-01,93.19,103.06,
1999-12-02,94.81,110.19,
1999-12-03,96.12,115.0,
1999-12-06,95.44,116.0,
1999-12-07,93.0,117.81,
1999-12-08,91.75,110.06,
1999-12-09,92.75,105.25,
1999-12-10,93.87,103.0,
1999-12-13,96.62,99.0,
1999-12-14,98.69,94.87,
1999-12-15,108.44,97.0,
1999-12-16,113.69,98.31,
1999-12-17,115.25,100.0,
1999-12-20,112.75,98.0,
1999-12-21,115.87,102.5,
1999-12-22,117.56,99.94,
1999-12-23,117.44,103.5,
1999-12-27,119.12,99.31,
1999-12-28,117.5,98.19,
1999-12-29,117.94,100.69,
1999-12-30,117.62,100.31,
1999-12-31,116.75,102.81,
2000-01-03,116.56,111.94,
2000-01-04,112.62,102.5,
2000-01-05,113.81,104.0,
2000-01-06,110.0,95.0,
2000-01-07,111.44,99.5,
2000-01-10,112.25,97.75,
2000-01-11,109.37,92.75,
2000-01-12,105.81,87.19,
2000-01-13,107.81,96.75,
2000-01-14,112.25,100.44,
2000-01-18,115.31,103.94,
2000-01-19,107.0,106.56,
2000-01-20,106.0,113.5,
2000-01-21,103.75,111.31,
2000-01-24,101.25,106.25,
2000-01-25,102.81,112.25,
2000-01-26,99.37,110.19,
2000-01-27,98.75,110.0,
