date,SMA
1999-11-29,28.513
1999-11-30,28.492
1999-12-01,28.502
1999-12-02,28.5468
1999-12-03,28.6165
1999-12-06,28.6784
1999-12-07,28.7272
1999-12-08,28.7732
1999-12-09,28.863
1999-12-10,28.9307
1999-12-13,29.0492
1999-12-14,29.2357
1999-12-15,29.5727
1999-12-16,30.0303
1999-12-17,30.5138
1999-12-20,30.9404
1999-12-21,31.3561
1999-12-22,31.8017
1999-12-23,32.2124
1999-12-27,32.659
1999-12-28,33.0946
1999-12-29,33.5235
1999-12-30,33.9132
1999-12-31,34.2631
2000-01-03,34.5891
2000-01-04,34.8631
2000-01-05,35.1951
2000-01-06,35.4861
2000-01-07,35.7843
2000-01-10,36.0774
2000-01-11,36.2808
2000-01-12,36.3943
2000-01-13,36.3843
2000-01-14,36.3613
2000-01-18,36.3623
2000-01-19,36.2706
2000-01-20,36.1131
2000-01-21,35.8929
2000-01-24,35.6346
2000-01-25,35.3745
2000-01-26,35.0853
2000-01-27,34.7792
2000-01-28,34.4703
2000-01-31,34.1692
2000-02-01,33.9519
2000-02-02,33.7636
2000-02-03,33.601
2000-02-04,33.5462
2000-02-07,33.4693
2000-02-08,33.4324
2000-02-09,33.3468
2000-02-10,33.3498
2000-02-11,33.2243
2000-02-14,33.0228
2000-02-15,32.7557
2000-02-16,32.6061
2000-02-17,32.5043
2000-02-18,32.3657
2000-02-22,32.247
2000-02-23,32.1105
2000-02-24,32.0368
2000-02-25,31.9182
2000-02-28,31.8115
2000-02-29,31.6759
2000-03-01,31.4824
2000-03-02,31.3637
2000-03-03,31.2441
2000-03-06,30.9899
2000-03-07,30.7706
2000-03-08,30.5412
2000-03-09,30.4774
2000-03-10,30.3977
2000-03-13,30.3667
2000-03-14,30.2949
2000-03-15,30.2441
2000-03-16,30.2082
2000-03-17,30.2042
2000-03-20,30.241
2000-03-21,30.3836
2000-03-22,30.5272
2000-03-23,30.8002
2000-03-24,31.1253
2000-03-27,31.3247
2000-03-28,31.563
2000-03-29,31.8242
2000-03-30,31.9837
2000-03-31,32.1453
2000-04-03,32.1493
2000-04-04,32.0805
2000-04-05,31.9339
2000-04-06,31.7106
2000-04-07,31.5202
2000-04-10,31.3298
2000-04-11,31.1503
2000-04-12,30.8951
2000-04-13,30.638
2000-04-14,30.2353
2000-04-17,29.8924
2000-04-18,29.5384
2000-04-19,29.1467
2000-04-20,28.6215
2000-04-24,27.9026
2000-04-25,27.3493
2000-04-26,26.7702
2000-04-27,26.174
2000-04-28,25.6377
2000-05-01,25.1144
2000-05-02,24.7795
2000-05-03,24.4924
2000-05-04,24.2383
2000-05-05,24.0009
2000-05-08,23.6939
2000-05-09,23.4028
2000-05-10,23.1208
2000-05-11,22.9374
2000-05-12,22.7709
2000-05-15,22.6951
2000-05-16,22.5935
2000-05-17,22.3882
2000-05-18,22.1889
2000-05-19,21.9675
2000-05-22,21.9287
2000-05-23,21.8302
2000-05-24,21.7912
2000-05-25,21.6587
2000-05-26,21.5262
2000-05-30,21.3657
2000-05-31,21.2491
2000-06-01,21.1534
2000-06-02,21.0875
2000-06-05,21.0197
2000-06-06,21.0167
2000-06-07,21.0596
2000-06-08,21.1014
2000-06-09,21.1164
2000-06-12,21.0855
2000-06-13,21.0615
2000-06-14,21.0775
2000-06-15,21.1521
2000-06-16,21.2537
2000-06-19,21.3914
2000-06-20,21.5628
2000-06-21,21.842
2000-06-22,22.0702
2000-06-23,22.3284
2000-06-26,22.6165
2000-06-27,22.8626
2000-06-28,23.1239
2000-06-29,23.3253
2000-06-30,23.5437
2000-07-03,23.7531
2000-07-05,23.8947
2000-07-06,24.0612
2000-07-07,24.2716
2000-07-10,24.4412
2000-07-11,24.6365
2000-07-12,24.835
2000-07-13,24.9855
2000-07-14,25.0903
2000-07-17,25.1801
2000-07-18,25.2568
2000-07-19,25.2278
2000-07-20,25.134
2000-07-21,25.0134
2000-07-24,24.8997
2000-07-25,24.7322
2000-07-26,24.5568
2000-07-27,24.4042
2000-07-28,24.2845
2000-07-31,24.122
2000-08-01,23.9416
2000-08-02,23.796
2000-08-03,23.6255
2000-08-04,23.42
2000-08-07,23.2695
2000-08-08,23.1897
2000-08-09,23.0931
2000-08-10,22.9763
2000-08-11,22.8726
2000-08-14,22.7769
2000-08-15,22.6672
2000-08-16,22.6334
2000-08-17,22.5816
2000-08-18,22.5607
2000-08-21,22.5616
2000-08-22,22.5975
2000-08-23,22.6444
2000-08-24,22.6723
2000-08-25,22.6871
2000-08-28,22.7111
2000-08-29,22.747
2000-08-30,22.757
2000-08-31,22.75
2000-09-01,22.7671
2000-09-05,22.769
2000-09-06,22.6943
2000-09-07,22.6275
2000-09-08,22.5747
2000-09-11,22.5168
2000-09-12,22.4519
2000-09-13,22.3981
2000-09-14,22.3154
2000-09-15,22.1978
2000-09-18,22.0702
2000-09-19,21.9806
2000-09-20,21.8689
2000-09-21,21.7643
2000-09-22,21.6388
2000-09-25,21.4893
2000-09-26,21.3518
2000-09-27,21.1874
2000-09-28,21.0488
2000-09-29,20.8972
2000-10-02,20.7208
2000-10-03,20.5046
2000-10-04,20.2813
2000-10-05,20.0471
2000-10-06,19.8278
2000-10-09,19.5946
2000-10-10,19.3783
2000-10-11,19.179
2000-10-12,18.9967
2000-10-13,18.8301
2000-10-16,18.6289
2000-10-17,18.3966
2000-10-18,18.1972
2000-10-19,18.1604
2000-10-20,18.1913
2000-10-23,18.2054
2000-10-24,18.1864
2000-10-25,18.1963
2000-10-26,18.2462
2000-10-27,18.3639
2000-10-30,18.5223
2000-10-31,18.7187
2000-11-01,18.9448
2000-11-02,19.183
2000-11-03,19.3854
2000-11-06,19.6295
2000-11-07,19.8838
2000-11-08,20.1021
2000-11-09,20.3652
2000-11-10,20.5824
2000-11-13,20.8386
2000-11-14,21.1316
2000-11-15,21.4236
2000-11-16,21.5362
2000-11-17,21.5979
2000-11-20,21.6786
2000-11-21,21.7783
2000-11-22,21.89
2000-11-24,21.9777
2000-11-27,22.0255
2000-11-28,21.9927
2000-11-29,21.9319
2000-11-30,21.7367
2000-12-01,21.5185
2000-12-04,21.3301
2000-12-05,21.1767
2000-12-06,20.9564
2000-12-07,20.6963
2000-12-08,20.4342
2000-12-11,20.2857
2000-12-12,20.1572
2000-12-13,19.9728
2000-12-14,19.7406
2000-12-15,19.4256
2000-12-18,19.0866
2000-12-19,18.7297
2000-12-20,18.311
2000-12-21,17.9153
2000-12-22,17.5404
2000-12-26,17.1607
2000-12-27,16.8327
2000-12-28,16.5058
2000-12-29,16.2825
2001-01-02,16.0711
2001-01-03,15.9356
2001-01-04,15.7531
2001-01-05,15.6325
2001-01-08,15.5657
2001-01-09,15.5237
2001-01-10,15.4411
2001-01-11,15.3872
2001-01-12,15.3274
2001-01-16,15.2805
2001-01-17,15.3403
2001-01-18,15.463
2001-01-19,15.7212
2001-01-22,16.0183
2001-01-23,16.2914
2001-01-24,16.5546
2001-01-25,16.7927
2001-01-26,17.0728
2001-01-29,17.3908
2001-01-30,17.7098
2001-01-31,17.9918
2001-02-01,18.2221
2001-02-02,18.4194
2001-02-05,18.6237
2001-02-06,18.841
2001-02-07,19.0464
2001-02-08,19.1959
2001-02-09,19.2617
2001-02-12,19.3455
2001-02-13,19.4353
2001-02-14,19.522
2001-02-15,19.5748
2001-02-16,19.516
2001-02-20,19.4482
2001-02-21,19.3795
2001-02-22,19.2558
2001-02-23,19.1751
2001-02-26,19.1043
2001-02-27,19.0227
2001-02-28,18.9528
2001-03-01,18.9257
2001-03-02,18.8349
2001-03-05,18.7812
2001-03-06,18.7413
2001-03-07,18.7115
2001-03-08,18.6247
2001-03-09,18.536
2001-03-12,18.4213
2001-03-13,18.3486
2001-03-14,18.2818
2001-03-15,18.207
2001-03-16,18.1392
2001-03-19,18.0913
2001-03-20,18.0405
2001-03-21,17.9417
2001-03-22,17.9228
2001-03-23,17.9197
2001-03-26,17.8639
2001-03-27,17.8459
2001-03-28,17.791
2001-03-29,17.7275
2001-03-30,17.6956
2001-04-02,17.6696
2001-04-03,17.573
2001-04-04,17.4334
2001-04-05,17.3935
2001-04-06,17.3856
2001-04-09,17.4687
2001-04-10,17.5562
2001-04-11,17.6526
2001-04-12,17.788
2001-04-16,17.8873
2001-04-17,18.0017
2001-04-18,18.2049
2001-04-19,18.4917
2001-04-20,18.7309
2001-04-23,18.9174
2001-04-24,19.1007
2001-04-25,19.2831
2001-04-26,19.4996
2001-04-27,19.6868
2001-04-30,19.8951
2001-05-01,20.1242
2001-05-02,20.3854
2001-05-03,20.65
2001-05-04,20.8733
2001-05-07,21.1156
2001-05-08,21.3534
2001-05-09,21.5244
2001-05-10,21.6833
2001-05-11,21.7984
2001-05-14,21.9249
2001-05-15,22.0332
2001-05-16,22.0927
2001-05-17,22.0948
2001-05-18,22.0803
2001-05-21,22.0889
2001-05-22,22.1329
2001-05-23,22.133
2001-05-24,22.1744
2001-05-25,22.2348
2001-05-29,22.2761
2001-05-30,22.2605
2001-05-31,22.2512
2001-06-01,22.2801
2001-06-04,22.2806
2001-06-05,22.3
2001-06-06,22.3048
2001-06-07,22.3571
2001-06-08,22.408
2001-06-11,22.4514
2001-06-12,22.505
2001-06-13,22.5436
2001-06-14,22.5395
2001-06-15,22.5371
2001-06-18,22.5178
2001-06-19,22.4943
2001-06-20,22.48
2001-06-21,22.4822
2001-06-22,22.4361
2001-06-25,22.4032
2001-06-26,22.4
2001-06-27,22.4312
2001-06-28,22.4879
2001-06-29,22.5304
2001-07-02,22.5275
2001-07-03,22.4935
2001-07-05,22.4321
2001-07-06,22.3106
2001-07-09,22.1909
2001-07-10,22.0691
2001-07-11,21.9801
2001-07-12,21.9946
2001-07-13,22.0335
2001-07-16,22.0839
2001-07-17,22.1627
2001-07-18,22.2146
2001-07-19,22.265
2001-07-20,22.2544
2001-07-23,22.2267
2001-07-24,22.1863
2001-07-25,22.1439
2001-07-26,22.0713
2001-07-27,21.9554
2001-07-30,21.8405
2001-07-31,21.7702
2001-08-01,21.7064
2001-08-02,21.6895
2001-08-03,21.7027
2001-08-06,21.7097
2001-08-07,21.7396
2001-08-08,21.7134
2001-08-09,21.6083
2001-08-10,21.5155
2001-08-13,21.4301
2001-08-14,21.3164
2001-08-15,21.1989
2001-08-16,21.0721
2001-08-17,20.9556
2001-08-20,20.8856
2001-08-21,20.7972
2001-08-22,20.6885
2001-08-23,20.5693
2001-08-24,20.5148
2001-08-27,20.4591
2001-08-28,20.3722
2001-08-29,20.273
2001-08-30,20.1053
2001-08-31,19.9484
2001-09-04,19.7884
2001-09-05,19.6511
2001-09-06,19.5101
2001-09-07,19.3568
2001-09-10,19.2302
2001-09-17,19.0241
2001-09-18,18.8587
2001-09-19,18.7099
2001-09-20,18.4888
2001-09-21,18.2947
2001-09-24,18.1242
2001-09-25,17.973
2001-09-26,17.8073
2001-09-27,17.6612
2001-09-28,17.4876
2001-10-01,17.3198
2001-10-02,17.1972
2001-10-03,17.1331
2001-10-04,17.1251
2001-10-05,17.1358
2001-10-08,17.1667
2001-10-09,17.116
2001-10-10,17.1079
2001-10-11,17.1225
2001-10-12,17.1034
2001-10-15,17.1855
2001-10-16,17.2514
2001-10-17,17.2859
2001-10-18,17.3814
2001-10-19,17.512
2001-10-22,17.642
2001-10-23,17.7877
2001-10-24,17.9639
2001-10-25,18.1649
2001-10-26,18.3408
2001-10-29,18.466
2001-10-30,18.559
2001-10-31,18.5896
2001-11-01,18.6757
2001-11-02,18.7344
2001-11-05,18.8179
2001-11-06,18.9809
2001-11-07,19.1203
2001-11-08,19.2495
2001-11-09,19.3903
2001-11-12,19.5136
2001-11-13,19.6643
2001-11-14,19.8225
2001-11-15,19.972
2001-11-16,20.0972
2001-11-19,20.199
2001-11-20,20.2782
2001-11-21,20.3218
2001-11-23,20.3561
2001-11-26,20.403
2001-11-27,20.4684
2001-11-28,20.5309
2001-11-29,20.6376
2001-11-30,20.6754
2001-12-03,20.7291
2001-12-04,20.7727
2001-12-05,20.8256
2001-12-06,20.8958
2001-12-07,20.9502
2001-12-10,20.9797
2001-12-11,21.0041
2001-12-12,21.0049
2001-12-13,21.01
2001-12-14,21.0311
2001-12-17,21.0826
2001-12-18,21.1261
2001-12-19,21.1914
2001-12-20,21.2346
2001-12-21,21.2797
2001-12-24,21.3137
2001-12-26,21.3765
2001-12-27,21.4571
2001-12-28,21.5054
2001-12-31,21.538
2002-01-02,21.5742
2002-01-03,21.6257
2002-01-04,21.6384
2002-01-07,21.637
2002-01-08,21.6617
2002-01-09,21.688
2002-01-10,21.7193
2002-01-11,21.7298
2002-01-14,21.7649
2002-01-15,21.7986
2002-01-16,21.7809
2002-01-17,21.7903
2002-01-18,21.7362
2002-01-22,21.6995
2002-01-23,21.6389
2002-01-24,21.5963
2002-01-25,21.5344
2002-01-28,21.4702
2002-01-29,21.3816
2002-01-30,21.3274
2002-01-31,21.2743
2002-02-01,21.1695
2002-02-04,21.0454
2002-02-05,20.9272
2002-02-06,20.784
2002-02-07,20.6419
2002-02-08,20.5042
2002-02-11,20.3849
2002-02-12,20.2521
2002-02-13,20.1288
2002-02-14,20.0301
2002-02-15,19.8765
2002-02-19,19.7621
2002-02-20,19.6894
2002-02-21,19.5986
2002-02-22,19.4932
2002-02-25,19.4179
2002-02-26,19.3338
2002-02-27,19.2712
2002-02-28,19.1992
2002-03-01,19.1619
2002-03-04,19.1721
2002-03-05,19.2034
2002-03-06,19.2429
2002-03-07,19.2799
2002-03-08,19.3461
2002-03-11,19.405
2002-03-12,19.4275
2002-03-13,19.4587
2002-03-14,19.4492
2002-03-15,19.4621
2002-03-18,19.4925
2002-03-19,19.5452
2002-03-20,19.5484
2002-03-21,19.6012
2002-03-22,19.6404
2002-03-25,19.6428
2002-03-26,19.6512
2002-03-27,19.668
2002-03-28,19.6994
2002-04-01,19.6836
2002-04-02,19.5876
2002-04-03,19.4799
2002-04-04,19.3654
2002-04-05,19.2562
2002-04-08,19.1488
2002-04-09,18.9978
2002-04-10,18.8982
2002-04-11,18.7817
2002-04-12,18.6973
2002-04-15,18.5888
2002-04-16,18.5198
